                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95918,                 4.3037,                  1.644,                  1e-05,                0.00556,                      0,                      0,                 1.6227,                0.38901,                 4.0627,               0.097652,               2.35e-06,               2.35e-06
                      2,                0.83557,                 1.2788,                  1.429,                0.00019,                 0.2517,                 0.0023,                0.00047,                0.95222,                 1.0888,                 2.0629,               0.095255,               4.75e-06,               4.75e-06
                      3,                0.84881,                 1.2292,                 1.5312,                0.00022,                0.28571,                0.01416,                0.00455,                0.87164,                 1.1273,                 1.7564,               0.092857,               7.15e-06,               7.15e-06
                      4,                 0.7865,                 1.3724,                 1.3556,                0.00025,                 0.0878,                0.00025,                  4e-05,                 1.2068,                 1.2327,                 2.2535,                0.09046,               9.55e-06,               9.55e-06
                      5,                0.78453,                 1.3511,                 1.3174,                0.00067,                0.20047,                0.00153,                0.00027,                 1.1035,                 1.0243,                 1.9676,               0.088062,              1.195e-05,              1.195e-05
                      6,                0.71208,                   1.39,                 1.1657,                0.00067,                0.20047,                0.00153,                0.00027,                 1.8213,                 0.1125,                 3.4564,               0.085664,              1.435e-05,              1.435e-05
                      7,                0.65065,                 1.4703,                 1.0366,                0.00022,                0.06231,                0.00017,                  2e-05,                  1.311,                0.56532,                 2.3945,               0.083267,              1.675e-05,              1.675e-05
                      8,                0.73265,                 1.3097,                 1.2242,                0.00351,                0.53125,                0.01236,                0.00324,                0.78047,                 1.4108,                 1.3879,               0.080869,              1.915e-05,              1.915e-05
                      9,                0.70955,                 1.3608,                 1.0998,                0.00193,                0.28037,                0.02241,                0.00362,                0.81501,                  1.555,                 1.6072,               0.078472,              2.155e-05,              2.155e-05
                     10,                0.61343,                 1.4331,                0.97204,                0.66814,                0.21807,                0.01052,                0.00168,                 1.0159,                 1.0042,                 1.8946,               0.076074,              2.395e-05,              2.395e-05
