                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.38945,                0.91359,                0.57556,                0.49696,                0.46686,                0.40223,                0.24511,                0.40459,                0.89007,                0.63626,               0.021379,               7.87e-05,               7.87e-05
                     36,                0.41434,                0.87183,                0.60932,                0.61139,                0.55212,                0.49716,                0.31173,                0.38468,                0.94206,                0.62908,               0.019131,              8.095e-05,              8.095e-05
                     37,                0.40406,                0.86045,                0.61139,                0.53511,                0.47353,                0.34927,                0.17657,                0.46691,                0.97216,                0.75917,               0.016883,               8.32e-05,               8.32e-05
                     38,                0.40232,                0.82828,                0.61526,                0.62601,                0.46985,                0.39292,                0.23256,                 0.4408,                0.88701,                0.76824,               0.014635,              8.545e-05,              8.545e-05
                     39,                0.38605,                0.85332,                0.57506,                 0.5792,                 0.5129,                0.42446,                0.23101,                0.42075,                0.98417,                0.64294,               0.012388,               8.77e-05,               8.77e-05
                     40,                0.38353,                0.86267,                 0.5768,                0.49297,                0.49965,                0.41456,                0.25093,                 0.3663,                 0.9044,                 0.5552,                0.01014,              8.995e-05,              8.995e-05
                     41,                0.37639,                0.81369,                0.57452,                 0.4769,                0.40925,                0.30303,                0.18965,                0.36636,                0.96481,                0.59217,              0.0078922,               9.22e-05,               9.22e-05
                     42,                0.37153,                 0.8096,                0.56294,                0.56409,                0.57974,                0.50199,                0.33753,                0.35477,                0.88257,                0.58212,              0.0056445,              9.445e-05,              9.445e-05
                     43,                0.35341,                0.80501,                0.54656,                 0.6588,                0.56706,                 0.5239,                0.33788,                0.34763,                0.96846,                0.55249,              0.0033967,               9.67e-05,               9.67e-05
                     44,                0.36434,                0.78723,                0.55425,                0.62141,                0.60594,                0.49587,                 0.3301,                0.34379,                0.89899,                0.55403,               0.001149,              9.895e-05,              9.895e-05
                     45,                0.34638,                0.78724,                0.52973,                0.59703,                0.58313,                0.48426,                0.26788,                0.39796,                 0.8843,                0.68191,                 0.0001,                 0.0001,                 0.0001
                     46,                0.35293,                0.77287,                0.53222,                0.65339,                0.62467,                0.58257,                0.38665,                0.32786,                0.90538,                0.51924,                 0.0001,                 0.0001,                 0.0001
                     47,                0.34223,                0.75592,                0.51432,                0.69722,                0.54994,                0.52273,                0.35276,                0.32424,                0.87805,                0.50631,                 0.0001,                 0.0001,                 0.0001
                     48,                0.33444,                0.73223,                0.51501,                0.72742,                0.62945,                0.61255,                0.39311,                0.33845,                0.86585,                0.54754,                 0.0001,                 0.0001,                 0.0001
                     49,                0.35513,                0.75769,                0.54421,                0.63634,                0.65968,                0.56022,                0.35575,                0.36189,                0.98378,                 0.5705,                 0.0001,                 0.0001,                 0.0001
                     50,                0.34909,                0.74264,                0.53317,                0.74063,                 0.6671,                0.59817,                0.38967,                0.35424,                0.79388,                0.55819,                 0.0001,                 0.0001,                 0.0001
                     51,                0.33097,                 0.7102,                0.50701,                0.74842,                0.66625,                0.59601,                0.40402,                0.32584,                0.84918,                0.51946,                 0.0001,                 0.0001,                 0.0001
                     52,                0.33424,                 0.7249,                0.50298,                0.69715,                0.67812,                  0.615,                0.41613,                  0.339,                0.84117,                0.53716,                 0.0001,                 0.0001,                 0.0001
                     53,                0.33609,                0.74211,                0.51559,                0.77416,                0.70699,                 0.7111,                0.49073,                0.31997,                0.74417,                0.51195,                 0.0001,                 0.0001,                 0.0001
                     54,                0.31831,                0.71591,                0.50065,                0.75815,                0.76506,                0.72609,                0.50016,                0.32773,                0.68558,                0.52698,                 0.0001,                 0.0001,                 0.0001
                     55,                0.31871,                0.67894,                 0.4944,                0.77065,                0.72082,                0.71091,                0.46272,                0.33651,                0.74721,                0.53105,                 0.0001,                 0.0001,                 0.0001
                     56,                0.31978,                0.67793,                0.48426,                0.76478,                0.72827,                0.71291,                0.45431,                0.33825,                0.71257,                0.55929,                 0.0001,                 0.0001,                 0.0001
                     57,                0.31816,                0.71728,                 0.4865,                0.70792,                0.65345,                0.60927,                0.41395,                0.31106,                0.78586,                0.50434,                 0.0001,                 0.0001,                 0.0001
                     58,                0.30929,                0.70947,                0.45528,                0.77797,                0.72398,                0.71296,                0.51478,                0.30337,                0.69596,                0.48004,                 0.0001,                 0.0001,                 0.0001
                     59,                 0.2984,                0.68227,                0.44823,                0.72344,                0.75183,                0.73067,                0.50295,                0.31832,                0.72463,                0.51736,                 0.0001,                 0.0001,                 0.0001
                     60,                0.31261,                0.71018,                0.46508,                 0.8409,                0.57909,                0.57251,                0.39678,                0.30007,                 0.8217,                0.47356,                 0.0001,                 0.0001,                 0.0001
                     61,                0.30157,                0.68229,                0.47039,                0.67684,                0.68921,                0.65082,                0.43918,                0.33879,                0.84129,                0.55975,                 0.0001,                 0.0001,                 0.0001
                     62,                0.30745,                0.70115,                0.47245,                 0.7516,                0.75315,                0.74251,                0.52811,                0.29675,                0.72237,                0.46517,                 0.0001,                 0.0001,                 0.0001
                     63,                0.29424,                0.66609,                0.45428,                0.78413,                0.72575,                0.73469,                0.53812,                0.29671,                0.72078,                0.46149,                 0.0001,                 0.0001,                 0.0001
                     64,                0.29105,                 0.6202,                0.43915,                0.73641,                0.72575,                 0.6993,                0.46649,                0.34758,                0.73102,                 0.5758,                 0.0001,                 0.0001,                 0.0001
                     65,                0.29509,                0.62874,                0.45736,                0.82762,                0.70853,                0.70644,                0.49953,                0.31354,                0.68497,                0.49301,                 0.0001,                 0.0001,                 0.0001
                     66,                0.28348,                0.63031,                0.42271,                 0.8339,                0.79757,                0.80796,                0.59568,                0.29193,                 0.6458,                 0.4693,                 0.0001,                 0.0001,                 0.0001
                     67,                 0.2872,                0.61095,                0.43012,                0.83311,                0.78152,                0.78522,                0.56765,                0.29158,                0.65839,                0.45961,                 0.0001,                 0.0001,                 0.0001
                     68,                0.29735,                0.57082,                0.44678,                0.83443,                0.76003,                0.74741,                0.54178,                0.30107,                0.74086,                0.46701,                 0.0001,                 0.0001,                 0.0001
                     69,                0.28684,                0.66063,                0.44147,                0.77997,                0.77395,                0.77059,                0.55028,                0.29982,                0.66565,                0.46754,                 0.0001,                 0.0001,                 0.0001
                     70,                0.27974,                0.62457,                0.42761,                0.81012,                0.66429,                0.65706,                0.47524,                0.29377,                0.79436,                0.46843,                 0.0001,                 0.0001,                 0.0001
                     71,                0.28494,                0.59966,                0.42481,                0.84542,                0.80859,                  0.809,                0.58749,                0.27625,                0.65811,                0.43525,                 0.0001,                 0.0001,                 0.0001
                     72,                0.28286,                0.61075,                0.42084,                0.81016,                0.70758,                0.71714,                0.51411,                0.28687,                0.80071,                0.43546,                 0.0001,                 0.0001,                 0.0001
                     73,                0.28143,                0.62343,                0.41753,                0.75985,                0.76386,                0.76694,                0.57432,                0.28186,                0.70154,                0.45223,                 0.0001,                 0.0001,                 0.0001
                     74,                0.27732,                0.59139,                0.41896,                0.78199,                0.66653,                0.66063,                0.47837,                0.28902,                0.77061,                0.46246,                 0.0001,                 0.0001,                 0.0001
                     75,                0.28243,                0.60306,                0.41658,                0.83839,                 0.7592,                0.77468,                0.57367,                0.27958,                0.65762,                0.43827,                 0.0001,                 0.0001,                 0.0001
                     76,                0.27267,                 0.5828,                0.40545,                0.85584,                  0.798,                0.81496,                0.59453,                 0.2956,                0.63982,                0.48348,                 0.0001,                 0.0001,                 0.0001
                     77,                0.27263,                0.59947,                  0.411,                0.85446,                0.77008,                 0.8093,                 0.5888,                0.29191,                 0.6339,                0.46983,                 0.0001,                 0.0001,                 0.0001
                     78,                0.26074,                0.62076,                 0.3922,                0.82158,                0.75427,                0.75453,                0.53077,                0.31239,                 0.6647,                0.49999,                 0.0001,                 0.0001,                 0.0001
                     79,                0.26566,                   0.58,                0.39546,                0.84914,                0.75998,                0.79274,                0.54711,                0.32398,                 0.6641,                0.54024,                 0.0001,                 0.0001,                 0.0001
                     80,                0.26612,                0.56668,                0.40237,                 0.8066,                0.75478,                0.77024,                0.56809,                0.28148,                0.66749,                0.44092,                 0.0001,                 0.0001,                 0.0001
                     81,                0.26474,                 0.5536,                0.39001,                0.81568,                0.83237,                0.82348,                0.61241,                0.27613,                0.67435,                0.42916,                 0.0001,                 0.0001,                 0.0001
                     82,                0.26066,                0.52194,                0.39398,                0.82103,                0.76894,                0.76755,                0.56462,                0.28978,                0.69605,                0.44833,                 0.0001,                 0.0001,                 0.0001
                     83,                 0.2642,                0.52394,                0.38625,                0.86238,                0.79799,                0.81869,                0.59043,                0.30838,                0.58533,                0.49217,                 0.0001,                 0.0001,                 0.0001
                     84,                0.25331,                  0.525,                0.38507,                0.84878,                0.81286,                0.82865,                 0.6069,                0.28804,                0.59174,                0.47582,                 0.0001,                 0.0001,                 0.0001
                     85,                0.26843,                0.54572,                0.40824,                0.88616,                0.79725,                0.81771,                0.60884,                0.27603,                 0.5916,                0.43238,                 0.0001,                 0.0001,                 0.0001
                     86,                 0.2533,                0.53654,                0.36969,                0.84491,                0.79777,                0.81047,                0.60202,                0.27696,                0.66264,                0.43911,                 0.0001,                 0.0001,                 0.0001
                     87,                0.25729,                0.55553,                0.38334,                0.86364,                0.78341,                0.77291,                0.58707,                0.26846,                0.67233,                0.41582,                 0.0001,                 0.0001,                 0.0001
                     88,                0.24612,                0.51354,                0.36079,                0.85517,                 0.8099,                0.83409,                0.63239,                 0.2672,                0.61553,                0.41772,                 0.0001,                 0.0001,                 0.0001
                     89,                0.25156,                  0.504,                0.37246,                0.85109,                0.84561,                0.83317,                0.60047,                0.30471,                0.60225,                0.48708,                 0.0001,                 0.0001,                 0.0001
                     90,                0.25478,                0.52845,                0.38271,                0.84072,                0.72634,                 0.7138,                0.53348,                0.29141,                0.69143,                0.46319,                 0.0001,                 0.0001,                 0.0001
                     91,                0.25174,                0.50834,                0.36915,                0.87856,                0.81579,                0.80338,                0.60021,                0.27212,                0.60459,                0.41963,                 0.0001,                 0.0001,                 0.0001
                     92,                0.24215,                0.53305,                0.35745,                0.82683,                0.84108,                0.83018,                 0.6293,                0.27149,                0.62113,                0.43074,                 0.0001,                 0.0001,                 0.0001
                     93,                0.24829,                0.51395,                0.36637,                0.86349,                0.85215,                0.83687,                0.63539,                0.26498,                0.59542,                0.40513,                 0.0001,                 0.0001,                 0.0001
                     94,                0.24751,                0.54676,                0.36747,                0.86515,                0.82523,                 0.8472,                0.62192,                0.27649,                0.60574,                0.43355,                 0.0001,                 0.0001,                 0.0001
                     95,                0.25627,                0.52562,                0.38201,                0.82769,                0.76451,                0.77715,                0.58684,                0.28404,                0.67125,                0.44646,                 0.0001,                 0.0001,                 0.0001
                     96,                0.24296,                0.50382,                0.35137,                0.78643,                0.81274,                0.80953,                0.60422,                0.27068,                0.70584,                0.42237,                 0.0001,                 0.0001,                 0.0001
