                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.18155,                 2.1035,                0.22975,                0.66991,                0.17262,                0.00618,                0.00356,                 0.3682,                 2.1833,                0.59011,               0.021379,               7.87e-05,               7.87e-05
                     36,                0.18753,                 2.0905,                0.24492,                0.15691,                0.26005,                0.04511,                0.02815,                0.39514,                  1.853,                0.75243,               0.019131,              8.095e-05,              8.095e-05
                     37,                 0.1815,                 2.0768,                0.23106,                0.35212,                0.15056,                0.02287,                0.01032,                0.30512,                 2.3209,                0.45939,               0.016883,               8.32e-05,               8.32e-05
                     38,                0.17957,                 2.0756,                 0.2294,                0.02769,                0.14135,                 0.0455,                 0.0325,                0.24711,                 2.2389,                0.36458,               0.014635,              8.545e-05,              8.545e-05
                     39,                0.17439,                 2.0663,                0.21972,                0.03209,                0.26372,                0.02702,                0.01609,                0.28531,                 2.4208,                0.42755,               0.012388,               8.77e-05,               8.77e-05
                     40,                0.17499,                 2.0747,                0.23364,                0.63356,                0.09897,                0.06537,                0.04284,                0.24471,                 2.2073,                0.35698,                0.01014,              8.995e-05,              8.995e-05
                     41,                0.17599,                 2.0826,                0.22798,                0.36363,                0.10049,                0.04532,                 0.0323,                0.21626,                 2.4191,                0.29554,              0.0078922,               9.22e-05,               9.22e-05
                     42,                0.16958,                 2.0816,                0.22017,                0.06218,                0.26722,                 0.0544,                0.03877,                0.21216,                  2.198,                0.29715,              0.0056445,              9.445e-05,              9.445e-05
                     43,                0.18398,                  1.948,                0.24421,                0.04984,                 0.2004,                 0.0732,                0.05288,                0.21423,                 2.0707,                0.28069,              0.0033967,               9.67e-05,               9.67e-05
                     44,                0.18095,                 1.9202,                0.24136,                 0.1684,                0.34533,                0.10257,                0.06593,                0.29221,                 1.8152,                0.44506,               0.001149,              9.895e-05,              9.895e-05
                     45,                0.21127,                 1.5874,                0.28496,                0.28758,                  0.399,                0.25291,                0.18472,                0.25308,                 1.4265,                 0.3763,                 0.0001,                 0.0001,                 0.0001
                     46,                0.22765,                 1.3736,                0.32209,                0.32178,                0.46775,                0.29026,                0.19978,                0.27756,                 1.3428,                0.42712,                 0.0001,                 0.0001,                 0.0001
                     47,                0.23241,                 1.2196,                 0.3351,                0.30983,                0.40704,                0.30689,                0.22383,                0.25788,                 1.4095,                0.39525,                 0.0001,                 0.0001,                 0.0001
                     48,                0.23053,                 1.2348,                0.34505,                0.32295,                0.43062,                0.26345,                0.18569,                 0.2637,                 1.3782,                0.40534,                 0.0001,                 0.0001,                 0.0001
                     49,                0.23785,                 1.1268,                0.34536,                0.39901,                0.46778,                0.33853,                0.24074,                0.28429,                 1.2406,                0.44978,                 0.0001,                 0.0001,                 0.0001
