                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.24447,                 1.8278,                0.31127,                0.29077,                0.34977,                0.19759,                0.11262,                0.32279,                 1.4752,                0.48313,               0.016134,              8.395e-05,              8.395e-05
                     36,                0.29612,                 1.5695,                 0.3812,                0.45182,                0.21215,                0.14814,                0.08512,                0.32565,                 1.5757,                0.47808,               0.013736,              8.635e-05,              8.635e-05
                     37,                0.30783,                 1.3967,                0.42454,                0.15858,                0.40961,                0.17186,                0.09452,                0.39944,                 1.2699,                 0.6292,               0.011339,              8.875e-05,              8.875e-05
                     38,                0.30461,                 1.4256,                0.42351,                0.17273,                0.45544,                0.18152,                0.10651,                0.32089,                 1.5417,                0.48958,              0.0089412,              9.115e-05,              9.115e-05
                     39,                0.30511,                 1.2946,                0.42701,                0.36567,                0.38941,                0.24073,                0.12487,                0.39056,                 1.3008,                0.64796,              0.0065436,              9.355e-05,              9.355e-05
                     40,                0.30355,                 1.2418,                0.42963,                0.19566,                 0.4377,                0.22393,                0.12975,                0.31759,                 1.3995,                0.48461,               0.004146,              9.595e-05,              9.595e-05
                     41,                0.32408,                  1.068,                0.47421,                0.35254,                0.49528,                0.32247,                0.19236,                0.33518,                 1.1732,                0.52539,              0.0017484,              9.835e-05,              9.835e-05
                     42,                0.32281,                 1.0217,                0.48826,                0.49083,                0.49202,                0.32979,                 0.2127,                0.33374,                 1.1983,                  0.532,                 0.0001,                 0.0001,                 0.0001
                     43,                0.33488,                0.89927,                0.50981,                0.69294,                0.40898,                0.35333,                0.19372,                0.41954,                 1.1211,                 0.7298,                 0.0001,                 0.0001,                 0.0001
                     44,                0.33904,                0.84946,                 0.5142,                0.55923,                0.65876,                0.56869,                 0.3415,                0.36129,                 0.8758,                0.58377,                 0.0001,                 0.0001,                 0.0001
                     45,                0.33389,                0.93263,                 0.4979,                0.52475,                0.63382,                0.53439,                0.32497,                0.39477,                0.79085,                0.68099,                 0.0001,                 0.0001,                 0.0001
                     46,                0.33504,                0.85971,                0.50976,                0.65999,                0.63285,                0.60381,                0.37293,                0.37734,                0.81281,                0.62629,                 0.0001,                 0.0001,                 0.0001
                     47,                0.33196,                 0.8357,                0.50264,                 0.5398,                0.55795,                0.43545,                 0.2395,                0.38129,                0.93917,                0.60863,                 0.0001,                 0.0001,                 0.0001
                     48,                0.33622,                0.78931,                0.51731,                0.61711,                0.63282,                 0.4923,                0.28572,                0.35386,                0.93021,                0.57188,                 0.0001,                 0.0001,                 0.0001
                     49,                0.34221,                0.78038,                0.52024,                0.69734,                0.77063,                0.70165,                0.45531,                0.32058,                0.75763,                0.51647,                 0.0001,                 0.0001,                 0.0001
                     50,                0.31906,                0.81659,                0.49087,                0.65841,                0.67438,                 0.6405,                 0.4021,                0.33558,                0.84408,                0.55295,                 0.0001,                 0.0001,                 0.0001
                     51,                0.32074,                0.76353,                0.49644,                 0.6561,                0.55311,                 0.5391,                0.30331,                0.39163,                0.80501,                 0.6579,                 0.0001,                 0.0001,                 0.0001
                     52,                 0.3349,                0.71162,                0.51633,                0.62915,                0.67118,                0.57506,                0.33846,                0.38617,                0.82363,                0.66414,                 0.0001,                 0.0001,                 0.0001
                     53,                0.34059,                0.73562,                0.53121,                0.80798,                0.69161,                0.69508,                0.42737,                0.34574,                0.67486,                0.58484,                 0.0001,                 0.0001,                 0.0001
                     54,                0.33518,                0.71041,                0.53121,                0.73212,                0.67616,                 0.6434,                0.40797,                 0.3376,                0.80201,                0.55483,                 0.0001,                 0.0001,                 0.0001
                     55,                0.32937,                0.76351,                0.50164,                0.71463,                0.66173,                0.60889,                0.36154,                0.38311,                0.75795,                0.64648,                 0.0001,                 0.0001,                 0.0001
                     56,                0.32651,                0.69212,                0.50404,                0.69396,                 0.6448,                0.56949,                0.31643,                0.36776,                0.83891,                0.63261,                 0.0001,                 0.0001,                 0.0001
                     57,                0.31688,                 0.7067,                0.48675,                0.70532,                0.69951,                0.69979,                0.40253,                0.39038,                0.72786,                0.69185,                 0.0001,                 0.0001,                 0.0001
                     58,                0.32472,                0.67371,                0.50974,                 0.7351,                0.62837,                0.57253,                0.35114,                0.35045,                0.76701,                0.57246,                 0.0001,                 0.0001,                 0.0001
                     59,                0.32741,                0.67251,                0.51119,                0.69759,                0.61611,                0.58703,                 0.3645,                0.35363,                0.79396,                0.59119,                 0.0001,                 0.0001,                 0.0001
                     60,                 0.3281,                0.70534,                0.51097,                0.82704,                0.70553,                0.71061,                0.45687,                0.32814,                 0.6974,                0.51991,                 0.0001,                 0.0001,                 0.0001
                     61,                0.31643,                0.66962,                0.48236,                0.82593,                0.71262,                0.75017,                0.46754,                0.35088,                0.65919,                0.55914,                 0.0001,                 0.0001,                 0.0001
                     62,                0.32003,                0.65393,                0.48617,                0.70558,                0.75558,                0.71274,                0.37947,                0.42963,                0.70012,                0.77215,                 0.0001,                 0.0001,                 0.0001
