                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90243,                  3.315,                 1.5952,                      0,                      0,                      0,                      0,                 1.6219,                0.21471,                 3.2077,               0.097802,                2.2e-06,                2.2e-06
                      2,                0.70755,                 1.4772,                 1.1628,                0.00045,                0.26797,                0.00236,                0.00055,                0.80693,                 1.2727,                 1.4367,               0.095554,               4.45e-06,               4.45e-06
                      3,                0.62753,                  1.584,                0.96943,                0.00392,                0.46312,                0.00908,                0.00221,                0.72763,                 1.4043,                 1.3278,               0.093307,                6.7e-06,                6.7e-06
                      4,                0.62136,                  1.601,                0.97209,                0.00046,                0.27124,                0.00399,                0.00078,                0.81028,                  1.287,                 1.4296,               0.091059,               8.95e-06,               8.95e-06
                      5,                0.62985,                 1.5599,                0.98562,                0.33403,                0.23203,                0.00231,                 0.0005,                0.90569,                 1.1548,                 1.9097,               0.088811,               1.12e-05,               1.12e-05
                      6,                0.57577,                 1.6006,                0.85737,                0.33344,                0.08696,                0.00222,                0.00047,                 1.0678,                0.78455,                 2.5276,               0.086563,              1.345e-05,              1.345e-05
                      7,                  0.522,                 1.6775,                0.75488,                0.33344,                0.08696,                0.00222,                0.00047,                 1.8164,                0.19482,                 4.2138,               0.084316,               1.57e-05,               1.57e-05
                      8,                0.52297,                  1.596,                 0.7382,                0.00045,                0.27124,                0.00134,                 0.0003,                0.88607,                 1.2236,                 1.4991,               0.082068,              1.795e-05,              1.795e-05
                      9,                0.49628,                 1.6287,                0.72069,                0.00026,                0.12033,                0.00022,                  4e-05,                 1.0805,                 0.8101,                 1.8892,                0.07982,               2.02e-05,               2.02e-05
                     10,                 0.4454,                 1.7059,                0.62683,                0.00026,                0.12033,                0.00022,                  4e-05,                 1.9189,                0.13609,                  3.475,               0.077572,              2.245e-05,              2.245e-05
                     11,                0.45442,                 1.6282,                0.65769,                0.00026,                0.12033,                0.00022,                  4e-05,                 1.8351,                0.32378,                 3.3273,               0.075325,               2.47e-05,               2.47e-05
                     12,                0.44483,                 1.7004,                 0.6245,                  2e-05,                0.00654,                  1e-05,                      0,                 1.4082,                0.40699,                 2.6524,               0.073077,              2.695e-05,              2.695e-05
                     13,                0.44016,                 1.6734,                 0.5989,                  2e-05,                0.00654,                  1e-05,                      0,                 1.9617,                0.32249,                 3.5976,               0.070829,               2.92e-05,               2.92e-05
                     14,                0.43901,                 1.5975,                0.60701,                0.00051,                 0.2451,                0.02216,                0.00428,                0.87892,                 1.1145,                 1.4994,               0.068581,              3.145e-05,              3.145e-05
                     15,                0.39737,                   1.67,                0.55318,                0.00054,                0.32353,                0.00893,                0.00217,                0.68492,                 1.5338,                 1.2111,               0.066334,               3.37e-05,               3.37e-05
                     16,                0.40019,                 1.6501,                0.55963,                0.00054,                 0.3268,                0.00456,                0.00142,                0.63225,                 1.6255,                 1.1074,               0.064086,              3.595e-05,              3.595e-05
                     17,                0.38059,                 1.7679,                0.52322,                0.00054,                 0.3268,                0.00208,                0.00055,                0.66262,                  1.708,                 1.1675,               0.061838,               3.82e-05,               3.82e-05
                     18,                0.34494,                 1.8751,                 0.4714,                 0.0005,                0.29739,                0.01878,                0.00564,                0.70539,                  1.458,                 1.2265,                0.05959,              4.045e-05,              4.045e-05
                     19,                 0.3301,                 1.8282,                0.45143,                0.00038,                0.22549,                0.00265,                0.00051,                0.87423,                 1.1594,                 1.5654,               0.057343,               4.27e-05,               4.27e-05
                     20,                0.34417,                 1.8228,                0.45732,                0.00015,                0.08824,                0.00015,                  3e-05,                  1.144,                0.73265,                 2.1552,               0.055095,              4.495e-05,              4.495e-05
