                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.37086,                 1.1687,                0.52309,                0.03331,                0.06536,                0.01788,                0.00612,                0.72732,                 1.3181,                 1.3967,               0.021379,               7.87e-05,               7.87e-05
                     36,                0.37885,                 1.2235,                0.54934,                0.00834,                0.16013,                0.00847,                0.00427,                0.49813,                 1.7655,                0.85761,               0.019131,              8.095e-05,              8.095e-05
                     37,                0.37143,                 1.1761,                0.51484,                0.50639,                0.29965,                0.21762,                0.12307,                0.39719,                 1.2303,                0.62755,               0.016883,               8.32e-05,               8.32e-05
                     38,                0.36557,                 1.1647,                0.51983,                0.07323,                0.13399,                0.07183,                0.04202,                0.38322,                 1.8006,                0.60352,               0.014635,              8.545e-05,              8.545e-05
                     39,                0.37606,                 1.0989,                 0.5394,                0.20628,                0.37383,                0.23537,                 0.1428,                0.34375,                   1.48,                 0.5129,               0.012388,               8.77e-05,               8.77e-05
                     40,                0.34923,                 1.1297,                0.50813,                0.45251,                 0.2542,                0.13915,                0.07305,                0.48445,                 1.2824,                0.76604,                0.01014,              8.995e-05,              8.995e-05
                     41,                0.35639,                 1.1019,                0.51571,                0.28517,                0.39597,                0.22904,                0.13319,                 0.4082,                  1.178,                0.65431,              0.0078922,               9.22e-05,               9.22e-05
                     42,                0.36398,                 1.0638,                0.54396,                0.30838,                0.43533,                   0.24,                0.14389,                0.36254,                 1.1594,                0.56398,              0.0056445,              9.445e-05,              9.445e-05
                     43,                0.34003,                 1.0868,                0.49802,                0.45898,                0.35553,                0.31624,                0.18264,                0.35641,                 1.2558,                0.53596,              0.0033967,               9.67e-05,               9.67e-05
                     44,                0.33628,                 1.0077,                 0.5062,                0.42441,                0.42785,                0.30979,                0.20077,                0.33247,                 1.2163,                0.51871,               0.001149,              9.895e-05,              9.895e-05
                     45,                0.33213,                0.96526,                0.48846,                 0.4339,                0.43111,                0.33566,                 0.2111,                0.33849,                 1.1244,                0.52397,                 0.0001,                 0.0001,                 0.0001
                     46,                 0.3253,                0.93356,                0.47887,                0.52686,                0.46609,                0.39021,                0.24645,                0.33327,                  1.195,                0.52598,                 0.0001,                 0.0001,                 0.0001
                     47,                0.33539,                0.91539,                0.48854,                0.61192,                0.63273,                0.58048,                0.39228,                 0.3399,                0.91782,                0.51781,                 0.0001,                 0.0001,                 0.0001
