                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9462,                 2.9426,                 1.6294,                  3e-05,                0.02778,                  2e-05,                      0,                 1.2897,                 0.5526,                 2.4348,               0.097652,               2.35e-06,               2.35e-06
                      2,                0.76214,                 1.3549,                 1.2014,                0.00011,                0.11667,                0.00015,                  2e-05,                  1.224,                0.92543,                 2.0141,               0.095255,               4.75e-06,               4.75e-06
                      3,                0.73224,                 1.4324,                 1.1671,                0.00035,                0.17234,                0.00056,                0.00011,                 1.1518,                0.87931,                  2.653,               0.092857,               7.15e-06,               7.15e-06
                      4,                0.70743,                 1.4656,                 1.1673,                 0.0001,                0.11565,                0.00039,                 0.0001,                 1.3828,                0.56746,                 2.0964,                0.09046,               9.55e-06,               9.55e-06
                      5,                0.62488,                 1.5544,                0.91913,                0.00028,                0.16822,                0.00066,                0.00019,                 1.1071,                 1.0424,                 1.8052,               0.088062,              1.195e-05,              1.195e-05
                      6,                0.59788,                 1.5647,                0.91607,                0.00028,                0.16822,                0.00066,                0.00019,                 2.0925,                 1.7715,                  3.992,               0.085664,              1.435e-05,              1.435e-05
                      7,                 0.5946,                 1.5164,                0.88825,                0.00058,                0.33022,                0.01009,                0.00205,                0.69487,                 2.0236,                 1.2937,               0.083267,              1.675e-05,              1.675e-05
                      8,                0.51248,                 1.6099,                 0.7492,                0.00175,                0.25208,                0.00198,                0.00037,                0.97633,                 1.6032,                  2.024,               0.080869,              1.915e-05,              1.915e-05
                      9,                0.46198,                 1.6473,                0.66987,                0.00047,                0.25545,                 0.0016,                0.00031,                0.96552,                 1.7405,                 1.8207,               0.078472,              2.155e-05,              2.155e-05
                     10,                0.48964,                 1.6196,                0.70876,                0.00015,                0.20408,                0.00013,                  3e-05,                 1.0533,                 1.5808,                 1.7002,               0.076074,              2.395e-05,              2.395e-05
                     11,                0.41849,                 1.7182,                0.57454,                0.00068,                0.30243,                0.00409,                0.00107,                0.63358,                 1.5592,                 1.1388,               0.073676,              2.635e-05,              2.635e-05
                     12,                0.37838,                 1.8218,                0.51896,                0.00054,                0.32399,                 0.0022,                0.00074,                0.64317,                 1.6962,                 1.1703,               0.071279,              2.875e-05,              2.875e-05
                     13,                0.34817,                 1.8761,                0.47936,                0.33389,                0.32399,                0.00532,                0.00131,                0.70271,                 1.5621,                 1.2862,               0.068881,              3.115e-05,              3.115e-05
                     14,                0.36506,                 1.7975,                 0.5118,                0.00047,                0.25545,                0.00475,                0.00107,                0.84382,                 1.2155,                 1.5678,               0.066484,              3.355e-05,              3.355e-05
                     15,                0.35107,                 1.9447,                0.48808,                0.00183,                0.15193,                0.00361,                0.00065,                 1.2344,                0.73839,                 2.4653,               0.064086,              3.595e-05,              3.595e-05
                     16,                  0.325,                 1.9737,                0.43819,                0.00026,                0.31973,                0.01021,                  0.002,                0.71342,                 1.4579,                 1.2973,               0.061688,              3.835e-05,              3.835e-05
                     17,                0.33157,                 1.9656,                0.44848,                 0.0003,                 0.1309,                0.00103,                0.00021,                 1.2195,                0.65487,                 3.1788,               0.059291,              4.075e-05,              4.075e-05
                     18,                0.30081,                  2.037,                0.39769,                0.00074,                 0.3271,                0.04521,                0.01282,                 0.6216,                 1.6158,                 1.1068,               0.056893,              4.315e-05,              4.315e-05
                     19,                0.30253,                  2.014,                0.40452,                  0.335,                0.31796,                0.00838,                0.00177,                0.98752,                0.88491,                 2.4153,               0.054496,              4.555e-05,              4.555e-05
                     20,                0.29258,                 2.0608,                0.38677,                0.00188,                0.55038,                 0.0114,                 0.0021,                0.88527,                 1.2468,                 1.9804,               0.052098,              4.795e-05,              4.795e-05
                     21,                0.27508,                 2.0814,                0.37112,                0.00106,                0.19009,                0.00934,                0.00193,                 1.0969,                0.83572,                 2.6991,                 0.0497,              5.035e-05,              5.035e-05
