                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91521,                 4.5237,                 1.5946,                0.00016,                0.21739,                0.00031,                  6e-05,                 1.0742,                 1.0456,                  1.701,               0.097802,                2.2e-06,                2.2e-06
                      2,                 1.1858,                0.78871,                 3.1617,                  3e-05,                0.01517,                  2e-05,                  1e-05,                 1.4741,                0.40037,                 5.0525,               0.095554,               4.45e-06,               4.45e-06
                      3,                 1.1304,                0.82959,                 2.9747,                0.00187,                0.24206,                0.00162,                0.00029,                 1.2004,                0.78032,                 3.0175,               0.093307,                6.7e-06,                6.7e-06
                      4,                 1.0968,                0.87137,                 2.8698,                0.00017,                0.08497,                0.00012,                  2e-05,                 1.1741,                 0.7202,                 3.2766,               0.091059,               8.95e-06,               8.95e-06
                      5,                 1.1093,                0.83916,                 2.8975,                0.00079,                0.09627,                0.00129,                 0.0002,                 1.2425,                0.78181,                 3.0612,               0.088811,               1.12e-05,               1.12e-05
                      6,                 1.0961,                0.81673,                 2.8769,                0.66726,                0.01307,                0.00103,                0.00025,                 1.2319,                 2.1146,                 3.4114,               0.086563,              1.345e-05,              1.345e-05
                      7,                 1.1155,                0.85047,                 2.7581,                0.33367,                0.12418,                0.00077,                0.00013,                  1.149,                0.72197,                 2.9493,               0.084316,               1.57e-05,               1.57e-05
                      8,                 1.1001,                0.80369,                 2.8493,                0.33341,                0.10472,                 0.1771,                0.07085,                 1.1419,                0.80901,                 2.9064,               0.082068,              1.795e-05,              1.795e-05
                      9,                  1.088,                0.81714,                 2.8175,                0.00071,                0.11452,                0.00061,                  9e-05,                 1.1298,                 0.8601,                 2.9531,                0.07982,               2.02e-05,               2.02e-05
                     10,                 1.0683,                 0.8279,                 2.7553,                0.00497,                0.05001,                0.00256,                0.00026,                 1.3082,                0.68098,                  3.435,               0.077572,              2.245e-05,              2.245e-05
                     11,                 1.0917,                0.81137,                 2.7441,                  3e-05,                0.04348,                0.00174,                0.00045,                 1.5789,                0.58715,                 3.5975,               0.075325,               2.47e-05,               2.47e-05
                     12,                0.47568,                 1.7979,                0.74706,                0.00071,                0.33404,                0.01477,                0.00374,                0.59155,                 1.6478,                 1.0024,               0.073077,              2.695e-05,              2.695e-05
                     13,                0.38313,                 1.9099,                0.53361,                0.00054,                 0.3268,                0.02604,                0.00689,                0.63293,                 1.6823,                 1.0446,               0.070829,               2.92e-05,               2.92e-05
                     14,                0.33882,                 2.0432,                   0.48,                0.33387,                0.18441,                0.00245,                0.00034,                 1.1452,                0.74776,                 1.8219,               0.068581,              3.145e-05,              3.145e-05
                     15,                0.34728,                 2.0041,                0.48433,                0.33387,                0.18441,                0.00245,                0.00034,                 1.8442,                0.06448,                 3.8772,               0.066334,               3.37e-05,               3.37e-05
                     16,                0.31528,                 2.0366,                0.42519,                0.00018,                0.07913,                0.00017,                  2e-05,                 1.3656,                0.66309,                 2.6944,               0.064086,              3.595e-05,              3.595e-05
                     17,                 0.3074,                 2.0653,                 0.4251,                0.00075,                0.25432,                0.00182,                0.00034,                 1.0858,                0.85969,                 2.5737,               0.061838,               3.82e-05,               3.82e-05
                     18,                0.30716,                 2.0404,                0.41933,                0.00245,                0.72069,                0.04873,                0.01672,                 0.6326,                 1.6628,                 1.1385,                0.05959,              4.045e-05,              4.045e-05
                     19,                0.28955,                 2.0712,                0.38228,                0.00049,                0.09117,                0.00029,                  7e-05,                 1.4782,                0.51564,                 2.3352,               0.057343,               4.27e-05,               4.27e-05
                     20,                0.27351,                 2.0591,                0.35833,                0.33359,                0.06863,                0.00153,                0.00037,                 1.2038,                0.64595,                 3.4102,               0.055095,              4.495e-05,              4.495e-05
                     21,                0.29164,                 2.0446,                0.37094,                0.00152,                0.26643,                0.00107,                0.00025,                 1.0437,                0.92531,                 1.8076,               0.052847,               4.72e-05,               4.72e-05
                     22,                0.27056,                 2.0753,                0.35057,                 0.6816,                0.10131,                0.01342,                0.00364,                0.85756,                 1.0753,                 1.5732,               0.050599,              4.945e-05,              4.945e-05
                     23,                0.25366,                 2.0909,                 0.3412,                0.66671,                0.02288,                0.00019,                  6e-05,                 1.3711,                0.45404,                 3.8413,               0.048352,               5.17e-05,               5.17e-05
                     24,                0.25545,                 2.0679,                 0.3358,                0.01364,                 0.5647,                0.02159,                0.00744,                0.49933,                 1.8483,                 0.7632,               0.046104,              5.395e-05,              5.395e-05
                     25,                 0.2709,                 2.0639,                0.35579,                 0.6741,                0.21242,                0.02117,                0.00747,                0.64257,                  1.347,                 1.1376,               0.043856,               5.62e-05,               5.62e-05
                     26,                0.25457,                 2.0827,                0.32876,                0.00986,                0.18662,                0.02107,                0.00351,                  0.897,                 1.1932,                 1.5938,               0.041608,              5.845e-05,              5.845e-05
                     27,                0.24252,                 2.1089,                0.30779,                 0.3539,                0.07143,                0.03502,                0.01335,                0.79721,                 1.4563,                 1.3866,               0.039361,               6.07e-05,               6.07e-05
                     28,                0.23694,                 2.0943,                0.31343,                0.00029,                0.11438,                0.00049,                  8e-05,                 1.1182,                0.93592,                 2.8642,               0.037113,              6.295e-05,              6.295e-05
                     29,                0.24007,                 2.0907,                0.31069,                 0.0047,                  0.381,                0.01126,                0.00258,                0.84586,                 1.1056,                   1.77,               0.034865,               6.52e-05,               6.52e-05
                     30,                0.22406,                 2.0967,                0.28756,                0.03402,                0.10825,                0.01913,                0.00599,                 0.5857,                 1.6032,                 1.0847,               0.032617,              6.745e-05,              6.745e-05
                     31,                 0.2304,                 2.0556,                0.30349,                0.57362,                 0.0866,                0.05722,                0.03107,                0.28195,                 2.0141,                0.41204,                0.03037,               6.97e-05,               6.97e-05
                     32,                 0.2212,                 2.0578,                0.28887,                0.67595,                0.14286,                0.01414,                 0.0055,                0.50561,                 1.9193,                0.85915,               0.028122,              7.195e-05,              7.195e-05
                     33,                 0.2497,                 1.8629,                0.32541,                0.66853,                0.01786,                0.00072,                  8e-05,                 1.0748,                0.81434,                 2.0011,               0.025874,               7.42e-05,               7.42e-05
                     34,                0.29699,                 1.4482,                0.40751,                0.20165,                0.19119,                0.07485,                0.03649,                  0.502,                 1.7222,                0.97129,               0.023626,              7.645e-05,              7.645e-05
                     35,                0.27692,                 1.3804,                0.39341,                0.00185,                0.58077,                0.02853,                0.01187,                 0.4258,                 2.3756,                0.62865,               0.021379,               7.87e-05,               7.87e-05
                     36,                0.29883,                 1.2285,                0.43198,                0.02497,                0.17144,                0.02438,                0.00965,                0.54421,                 1.6816,                0.96523,               0.019131,              8.095e-05,              8.095e-05
                     37,                0.28677,                 1.2293,                0.41031,                0.04381,                0.26618,                0.03677,                0.01332,                0.34379,                 2.2037,                0.48595,               0.016883,               8.32e-05,               8.32e-05
                     38,                0.28612,                 1.1547,                0.41846,                 0.2957,                0.16224,                0.12655,                0.06476,                0.46694,                 1.4295,                0.84304,               0.014635,              8.545e-05,              8.545e-05
                     39,                0.27671,                 1.0887,                0.39878,                0.20567,                0.22863,                0.08624,                  0.032,                0.61343,                 1.4434,                 1.2486,               0.012388,               8.77e-05,               8.77e-05
                     40,                 0.2748,                 1.0762,                0.41083,                0.46868,                0.11636,                0.07517,                0.04416,                0.40461,                 1.7608,                0.68516,                0.01014,              8.995e-05,              8.995e-05
                     41,                0.28044,                 1.0162,                0.41295,                0.74249,                0.17262,                  0.102,                0.05892,                0.32809,                 1.8799,                0.51604,              0.0078922,               9.22e-05,               9.22e-05
                     42,                0.26954,                 1.0344,                0.39939,                0.80867,                0.15023,                0.18882,                0.10322,                0.37539,                 1.9379,                0.63475,              0.0056445,              9.445e-05,              9.445e-05
                     43,                 0.2706,                0.97098,                0.41043,                0.61311,                0.35154,                0.29217,                0.20643,                0.29583,                 1.1542,                0.45484,              0.0033967,               9.67e-05,               9.67e-05
                     44,                0.25877,                0.97885,                0.39176,                0.50838,                0.44823,                0.39889,                  0.276,                0.31332,                 1.0093,                0.51345,               0.001149,              9.895e-05,              9.895e-05
                     45,                0.25939,                 1.0001,                0.37509,                0.48827,                0.40593,                0.30537,                0.20251,                0.30325,                 1.2055,                0.47507,                 0.0001,                 0.0001,                 0.0001
                     46,                0.25457,                  0.917,                0.37327,                0.66457,                0.43514,                0.34395,                0.22306,                0.32938,                 1.1488,                0.52934,                 0.0001,                 0.0001,                 0.0001
                     47,                0.25539,                0.91777,                0.37459,                0.46628,                0.43664,                0.32954,                 0.2344,                0.28797,                 1.1205,                0.44554,                 0.0001,                 0.0001,                 0.0001
                     48,                0.25294,                0.86775,                0.37743,                0.69572,                0.48443,                0.40131,                0.26973,                0.35201,                0.96644,                0.54157,                 0.0001,                 0.0001,                 0.0001
                     49,                0.25987,                0.87377,                0.38812,                0.44773,                0.42062,                0.29927,                0.20292,                0.31875,                 1.1057,                0.50402,                 0.0001,                 0.0001,                 0.0001
