                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.33149,                 1.0502,                0.48565,                0.41605,                 0.1322,                0.04217,                0.01533,                 0.5654,                 1.8651,                 1.0297,               0.016134,              8.395e-05,              8.395e-05
                     36,                0.33845,                 1.0164,                0.49262,                0.41456,                0.29575,                0.21459,                0.11969,                0.33574,                 1.6699,                0.51199,               0.013736,              8.635e-05,              8.635e-05
                     37,                0.33305,                0.98043,                0.49258,                0.33201,                0.35086,                0.22993,                0.13993,                0.36221,                 1.5551,                0.57648,               0.011339,              8.875e-05,              8.875e-05
                     38,                0.34639,                0.95326,                0.52262,                0.45825,                0.21007,                0.16114,                0.07701,                0.48006,                 1.3966,                 0.8335,              0.0089412,              9.115e-05,              9.115e-05
                     39,                0.34067,                0.94132,                0.51151,                 0.5497,                 0.1334,                0.07007,                0.03236,                0.48203,                 1.7192,                0.81748,              0.0065436,              9.355e-05,              9.355e-05
                     40,                 0.3433,                 0.8855,                0.52475,                0.66856,                  0.546,                0.53975,                0.29091,                0.37714,                 0.8736,                0.64902,               0.004146,              9.595e-05,              9.595e-05
                     41,                0.34325,                0.86993,                0.52335,                0.42218,                0.52136,                0.37093,                0.20229,                0.39449,                0.99574,                0.67871,              0.0017484,              9.835e-05,              9.835e-05
                     42,                0.31894,                0.88806,                0.49156,                0.60649,                0.39907,                0.34649,                0.20862,                0.38009,                 1.0539,                0.64136,                 0.0001,                 0.0001,                 0.0001
                     43,                 0.3261,                0.84016,                0.50018,                0.52389,                0.63192,                0.54284,                0.30035,                0.39577,                0.75371,                 0.7117,                 0.0001,                 0.0001,                 0.0001
                     44,                 0.3279,                0.82535,                0.50048,                0.55128,                0.58448,                0.55226,                0.33173,                0.35154,                0.80165,                  0.598,                 0.0001,                 0.0001,                 0.0001
                     45,                0.32483,                0.84943,                0.48857,                0.63411,                0.64386,                 0.4818,                0.28189,                0.35826,                0.92135,                0.59195,                 0.0001,                 0.0001,                 0.0001
                     46,                0.31771,                0.85288,                0.48757,                0.54575,                0.57645,                 0.5124,                0.27923,                0.42838,                0.82718,                0.73965,                 0.0001,                 0.0001,                 0.0001
                     47,                0.31372,                0.83375,                0.48303,                0.56346,                0.55697,                0.53298,                 0.3004,                 0.4043,                0.77171,                0.69513,                 0.0001,                 0.0001,                 0.0001
                     48,                0.31847,                0.79124,                0.48369,                0.61729,                 0.6719,                0.55771,                0.34483,                0.35253,                0.84445,                0.58412,                 0.0001,                 0.0001,                 0.0001
                     49,                0.32545,                0.78801,                0.49643,                 0.6003,                0.16903,                 0.1894,                 0.0889,                0.39852,                 1.6931,                0.65319,                 0.0001,                 0.0001,                 0.0001
                     50,                0.31494,                0.78556,                0.48984,                0.70893,                0.69103,                0.60714,                0.36439,                0.34477,                0.87249,                0.55704,                 0.0001,                 0.0001,                 0.0001
                     51,                0.31559,                0.74803,                0.48212,                0.64696,                0.68891,                0.64202,                 0.3811,                0.37091,                 0.6958,                0.63089,                 0.0001,                 0.0001,                 0.0001
                     52,                  0.313,                0.75399,                0.48599,                0.73287,                0.76917,                0.73868,                0.41123,                0.39082,                0.69647,                0.68729,                 0.0001,                 0.0001,                 0.0001
                     53,                0.31509,                0.75256,                0.49404,                0.65745,                0.73056,                0.64821,                0.34999,                0.43341,                0.72292,                0.80307,                 0.0001,                 0.0001,                 0.0001
                     54,                0.31526,                0.75473,                0.48637,                 0.6955,                0.73609,                0.67842,                0.39792,                0.37648,                0.74528,                0.64544,                 0.0001,                 0.0001,                 0.0001
                     55,                0.30977,                0.75465,                0.46302,                0.71219,                0.72875,                0.69197,                0.41941,                0.34874,                0.71238,                0.55749,                 0.0001,                 0.0001,                 0.0001
                     56,                0.31217,                0.70513,                0.47338,                0.76796,                0.78774,                0.73977,                0.43939,                0.34972,                0.63851,                0.58242,                 0.0001,                 0.0001,                 0.0001
                     57,                0.30644,                0.70204,                0.47255,                0.69038,                 0.7776,                0.70229,                0.39256,                0.40322,                0.67298,                0.71038,                 0.0001,                 0.0001,                 0.0001
                     58,                0.31112,                0.71683,                0.48151,                0.64836,                  0.601,                0.57128,                0.31307,                0.42452,                0.84831,                0.75185,                 0.0001,                 0.0001,                 0.0001
                     59,                0.30498,                0.66525,                 0.4712,                0.69742,                0.64633,                0.60122,                0.36402,                0.34498,                 0.8573,                0.57669,                 0.0001,                 0.0001,                 0.0001
                     60,                0.31248,                0.68503,                0.48695,                0.71679,                0.67475,                0.63419,                0.39381,                0.35895,                0.72418,                0.57939,                 0.0001,                 0.0001,                 0.0001
                     61,                0.29914,                0.68985,                0.45644,                0.66141,                0.50144,                0.47073,                0.27223,                 0.3648,                 1.1029,                0.59578,                 0.0001,                 0.0001,                 0.0001
                     62,                0.30981,                0.66333,                0.46708,                0.72103,                0.75152,                0.69522,                0.43662,                 0.3401,                0.72599,                0.56235,                 0.0001,                 0.0001,                 0.0001
                     63,                0.30416,                0.67493,                0.46685,                 0.6358,                0.66997,                0.63002,                0.31812,                 0.4675,                0.74817,                0.87946,                 0.0001,                 0.0001,                 0.0001
                     64,                0.30903,                 0.6357,                0.47603,                0.66959,                0.65804,                0.60483,                0.36667,                0.36551,                 0.7748,                0.61842,                 0.0001,                 0.0001,                 0.0001
                     65,                0.29613,                0.65825,                0.44297,                0.77279,                0.73569,                0.70892,                0.42392,                0.36024,                0.69872,                0.61492,                 0.0001,                 0.0001,                 0.0001
                     66,                0.29695,                0.61687,                0.45598,                0.77173,                0.76863,                0.77441,                0.48694,                0.34891,                0.63376,                0.57337,                 0.0001,                 0.0001,                 0.0001
                     67,                0.30396,                0.60938,                0.47185,                0.77772,                0.82273,                0.80084,                0.48405,                0.34865,                0.65125,                0.58237,                 0.0001,                 0.0001,                 0.0001
                     68,                0.29535,                0.63557,                0.45322,                0.73183,                0.76085,                0.73339,                0.43167,                0.37078,                0.73324,                0.65028,                 0.0001,                 0.0001,                 0.0001
                     69,                 0.2977,                0.61517,                0.45842,                0.79412,                0.81662,                0.79261,                0.49411,                0.33791,                0.65003,                 0.5637,                 0.0001,                 0.0001,                 0.0001
                     70,                0.30113,                0.59286,                0.47018,                0.77317,                0.79505,                0.77464,                0.49033,                0.33608,                0.67674,                0.55402,                 0.0001,                 0.0001,                 0.0001
                     71,                0.28577,                0.61822,                 0.4354,                0.76125,                0.74858,                0.74259,                0.42731,                0.36845,                 0.6974,                0.62904,                 0.0001,                 0.0001,                 0.0001
                     72,                 0.2919,                0.59498,                 0.4415,                0.82754,                0.73453,                0.76563,                0.46876,                0.34928,                0.63767,                0.58213,                 0.0001,                 0.0001,                 0.0001
                     73,                0.29376,                0.58582,                  0.448,                  0.784,                0.80287,                0.77721,                0.45734,                0.38169,                0.63456,                0.68279,                 0.0001,                 0.0001,                 0.0001
                     74,                0.28745,                0.57682,                0.44274,                0.82196,                0.78237,                0.76646,                0.47223,                0.36019,                0.58107,                0.59346,                 0.0001,                 0.0001,                 0.0001
                     75,                0.29284,                0.60909,                0.44694,                0.78596,                0.75718,                0.77052,                0.47471,                0.33829,                0.63904,                0.57417,                 0.0001,                 0.0001,                 0.0001
                     76,                0.29389,                0.56983,                 0.4513,                0.70581,                0.72209,                0.70306,                0.41523,                0.35842,                0.74158,                0.61371,                 0.0001,                 0.0001,                 0.0001
                     77,                  0.297,                0.58368,                0.45397,                0.76162,                0.71976,                0.73339,                0.45407,                0.34314,                0.66817,                 0.5727,                 0.0001,                 0.0001,                 0.0001
                     78,                0.28605,                0.57676,                0.44167,                0.84273,                0.78156,                0.79453,                0.49976,                0.34388,                0.62295,                0.58057,                 0.0001,                 0.0001,                 0.0001
                     79,                0.28902,                0.55201,                0.44961,                0.70557,                0.72424,                0.67911,                0.33539,                0.43752,                0.69649,                0.80988,                 0.0001,                 0.0001,                 0.0001
                     80,                0.28621,                0.56044,                0.44011,                0.83382,                0.79448,                 0.8068,                0.48879,                0.37285,                0.59906,                0.61261,                 0.0001,                 0.0001,                 0.0001
                     81,                0.27497,                0.55384,                0.41469,                0.78448,                0.77903,                0.78015,                0.48337,                0.34058,                0.61593,                0.55558,                 0.0001,                 0.0001,                 0.0001
                     82,                0.28439,                0.52338,                0.43443,                0.77221,                0.79231,                0.76761,                 0.4316,                0.39493,                0.66955,                0.69936,                 0.0001,                 0.0001,                 0.0001
                     83,                0.28049,                0.52703,                0.42759,                0.80744,                0.80304,                0.81724,                0.51115,                0.35204,                0.57855,                0.58745,                 0.0001,                 0.0001,                 0.0001
                     84,                0.28062,                0.50325,                 0.4298,                0.77087,                0.77522,                0.74557,                0.44375,                0.37447,                0.63272,                0.65103,                 0.0001,                 0.0001,                 0.0001
                     85,                0.28282,                 0.5351,                0.43236,                0.83076,                0.86754,                0.82522,                0.49032,                0.36677,                0.61623,                0.63241,                 0.0001,                 0.0001,                 0.0001
                     86,                0.28988,                0.50627,                0.43721,                0.75173,                0.74288,                0.69665,                0.34967,                0.43892,                0.72549,                0.81189,                 0.0001,                 0.0001,                 0.0001
                     87,                0.27582,                0.52109,                0.41703,                0.79843,                0.77528,                0.74237,                0.45705,                0.36299,                0.65412,                0.61812,                 0.0001,                 0.0001,                 0.0001
                     88,                0.28351,                0.50881,                0.43534,                 0.7947,                0.80564,                0.76438,                0.46246,                0.36998,                0.63913,                0.64116,                 0.0001,                 0.0001,                 0.0001
                     89,                0.27805,                0.50728,                0.42142,                0.84378,                0.80137,                 0.8022,                0.50369,                0.34746,                0.55868,                0.58657,                 0.0001,                 0.0001,                 0.0001
                     90,                0.28354,                0.47553,                0.44625,                0.76954,                0.78018,                0.77034,                0.47779,                0.35139,                0.61422,                0.57341,                 0.0001,                 0.0001,                 0.0001
                     91,                0.27589,                0.51155,                 0.4137,                0.74148,                0.68355,                0.65352,                0.37109,                 0.3726,                0.76895,                0.63762,                 0.0001,                 0.0001,                 0.0001
                     92,                0.27369,                 0.4855,                0.41006,                0.77126,                0.77875,                0.74738,                0.47032,                0.34752,                0.66095,                0.59379,                 0.0001,                 0.0001,                 0.0001
                     93,                0.27127,                0.52334,                0.39513,                0.86648,                0.79141,                0.80983,                0.45424,                0.40615,                0.57363,                0.75019,                 0.0001,                 0.0001,                 0.0001
                     94,                 0.2761,                 0.5056,                0.43022,                0.80667,                0.77422,                0.76895,                0.44658,                0.37667,                0.62693,                0.65391,                 0.0001,                 0.0001,                 0.0001
                     95,                0.27582,                0.46866,                 0.4298,                0.81874,                0.78144,                0.77136,                0.43852,                0.38966,                0.61351,                0.69963,                 0.0001,                 0.0001,                 0.0001
                     96,                 0.2696,                0.47267,                0.41597,                0.83391,                0.82398,                0.79866,                0.48905,                0.36157,                0.61232,                0.63492,                 0.0001,                 0.0001,                 0.0001
                     97,                0.26985,                0.47991,                 0.4216,                 0.7897,                0.77804,                0.76532,                0.44148,                0.39484,                0.62286,                0.70089,                 0.0001,                 0.0001,                 0.0001
                     98,                0.27609,                0.46666,                0.42892,                0.79209,                0.76288,                0.74143,                0.44114,                0.37388,                0.66356,                0.65472,                 0.0001,                 0.0001,                 0.0001
                     99,                 0.2682,                0.44845,                0.41384,                0.79897,                 0.8037,                0.78452,                0.48515,                0.36249,                0.60533,                0.60789,                 0.0001,                 0.0001,                 0.0001
                    100,                0.25688,                 0.4697,                0.39369,                0.78793,                0.77475,                0.73912,                0.45402,                0.35352,                 0.6497,                0.59679,                 0.0001,                 0.0001,                 0.0001
                    101,                 0.2666,                0.47746,                0.39995,                0.80429,                0.81877,                0.79545,                0.50288,                0.34797,                0.60613,                0.58052,                 0.0001,                 0.0001,                 0.0001
                    102,                0.26128,                0.45669,                0.39193,                0.82018,                0.80882,                0.77498,                0.46858,                0.36185,                0.62931,                0.63642,                 0.0001,                 0.0001,                 0.0001
                    103,                0.26393,                0.46582,                0.41331,                0.78623,                 0.7976,                0.75096,                0.45602,                0.36323,                0.61989,                0.62242,                 0.0001,                 0.0001,                 0.0001
                    104,                0.26285,                0.45771,                0.40038,                0.83225,                0.79339,                 0.7791,                0.50477,                0.34365,                0.62097,                0.56539,                 0.0001,                 0.0001,                 0.0001
                    105,                0.25811,                0.47884,                0.40055,                0.76224,                0.75191,                0.72831,                0.44355,                0.35801,                0.65871,                0.61916,                 0.0001,                 0.0001,                 0.0001
                    106,                0.26305,                 0.4714,                0.39803,                0.81249,                0.80383,                0.75169,                0.46628,                0.35131,                0.61214,                0.60718,                 0.0001,                 0.0001,                 0.0001
                    107,                0.26647,                0.45072,                0.40245,                0.83378,                0.83194,                0.80323,                 0.4971,                0.34449,                0.57978,                0.57492,                 0.0001,                 0.0001,                 0.0001
                    108,                0.25513,                0.43916,                0.37722,                0.74247,                0.77462,                0.71505,                0.42659,                0.37675,                0.69974,                 0.6495,                 0.0001,                 0.0001,                 0.0001
                    109,                0.26168,                0.50738,                0.39278,                0.83618,                0.77764,                 0.7974,                0.46872,                0.37371,                0.60272,                0.64011,                 0.0001,                 0.0001,                 0.0001
                    110,                0.25604,                0.43724,                0.38115,                 0.8351,                0.79896,                0.79047,                0.42589,                0.41725,                0.63063,                0.76404,                 0.0001,                 0.0001,                 0.0001
                    111,                0.26252,                0.46362,                0.39922,                0.84489,                0.81205,                0.79905,                0.48904,                0.35091,                0.60483,                0.59508,                 0.0001,                 0.0001,                 0.0001
                    112,                0.25605,                0.45203,                0.38657,                0.84982,                0.81963,                0.82241,                0.51757,                0.35332,                0.55891,                0.60715,                 0.0001,                 0.0001,                 0.0001
